iter	Passed	Remaining
0	1	141
1	2	132
2	3	123
3	4	107
4	5	102
5	6	97
6	7	94
7	7	91
8	8	87
9	9	85
10	10	83
11	11	84
12	12	81
13	13	79
14	14	80
15	15	78
16	15	76
17	16	74
18	17	74
19	18	72
20	18	71
21	20	71
22	20	69
23	21	68
24	22	66
25	23	66
26	24	66
27	25	66
28	26	65
29	27	64
30	28	62
31	28	61
32	29	59
33	30	58
34	30	57
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	36	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	43	43
50	44	42
51	45	41
52	46	41
53	47	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	81	12
87	81	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	94	0
99	95	0
