iter	Passed	Remaining
0	158	158025
1	159	79785
2	161	53612
3	163	40610
4	164	32784
5	166	27545
6	167	23784
7	169	20965
8	170	18797
9	172	17030
10	173	15591
11	174	14390
12	176	13384
13	177	12526
14	179	11766
15	180	11093
16	181	10501
17	182	9974
18	184	9516
19	185	9094
20	186	8698
21	187	8338
22	188	8009
23	189	7707
24	190	7440
25	191	7183
26	192	6942
27	193	6718
28	194	6510
29	195	6316
30	196	6132
31	197	5974
32	198	5808
33	198	5652
34	199	5504
35	200	5365
36	201	5233
37	201	5109
38	202	4988
39	203	4872
40	203	4762
41	204	4658
42	205	4564
43	205	4470
44	206	4379
45	206	4292
46	207	4209
47	208	4130
48	208	4055
49	209	3984
50	210	3912
51	210	3843
52	211	3776
53	211	3712
54	212	3650
55	212	3590
56	213	3532
57	214	3476
58	214	3422
59	215	3370
60	215	3319
61	216	3270
62	216	3223
63	217	3177
64	217	3132
65	218	3089
66	218	3049
67	219	3010
68	220	2971
69	220	2932
70	221	2895
71	221	2858
72	222	2823
73	222	2788
74	223	2758
75	224	2726
76	224	2694
77	225	2664
78	225	2634
79	226	2604
80	227	2575
81	227	2547
82	227	2517
83	228	2490
84	228	2464
85	229	2439
86	230	2414
87	230	2389
88	231	2365
89	231	2342
90	232	2319
91	232	2296
92	233	2274
93	233	2254
94	234	2236
95	235	2215
96	235	2195
97	236	2175
98	236	2155
99	237	2137
100	237	2118
101	238	2099
102	239	2081
103	239	2063
104	240	2046
105	240	2029
106	241	2012
107	241	1996
108	242	1980
109	242	1964
110	243	1948
111	243	1934
112	244	1919
113	244	1904
114	245	1889
115	246	1875
116	246	1860
117	247	1846
118	247	1833
119	248	1819
120	248	1807
121	249	1794
122	249	1781
123	250	1770
124	251	1760
125	252	1748
126	252	1736
127	253	1725
128	253	1713
129	254	1702
130	254	1691
131	255	1679
132	256	1668
133	256	1657
134	257	1647
135	257	1636
136	258	1625
137	258	1615
138	259	1605
139	259	1595
140	260	1585
141	260	1574
142	261	1565
143	261	1556
144	262	1546
145	262	1537
146	263	1528
147	264	1520
148	264	1512
149	265	1505
150	266	1497
151	266	1488
152	267	1480
153	267	1471
154	268	1463
155	268	1455
156	269	1447
157	270	1439
158	270	1431
159	271	1424
160	271	1415
161	272	1407
162	272	1400
163	273	1392
164	273	1385
165	274	1377
166	274	1370
167	275	1363
168	275	1356
169	276	1349
170	276	1342
171	277	1335
172	278	1329
173	278	1322
174	279	1318
175	280	1312
176	280	1305
177	281	1299
178	281	1292
179	282	1286
180	282	1280
181	283	1273
182	283	1267
183	284	1261
184	285	1255
185	285	1249
186	286	1243
187	286	1237
188	287	1232
189	287	1226
190	288	1220
191	288	1215
192	289	1209
193	289	1204
194	290	1198
195	290	1193
196	291	1187
197	291	1182
198	292	1177
199	293	1172
200	293	1168
201	295	1166
202	295	1161
203	296	1156
204	296	1151
205	297	1146
206	298	1141
207	298	1136
208	299	1132
209	299	1127
210	300	1122
211	300	1117
212	301	1113
213	301	1108
214	302	1103
215	302	1099
216	303	1094
217	303	1090
218	304	1085
219	304	1081
220	305	1076
221	305	1072
222	306	1068
223	307	1063
224	307	1059
225	308	1055
226	309	1052
227	309	1048
228	310	1044
229	310	1040
230	311	1036
231	311	1032
232	312	1028
